,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
86,Al0.088Co0.175Cr0.175Fe0.175Mn0.175Ni0.175Ta0.035,,385.0,8,257.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.4028/www.scientific.net/MSF.846.13
87,Al0.089Co0.163Cr0.163Fe0.163Mn0.163Ni0.163Ta0.098,,570.0,8,257.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.4028/www.scientific.net/MSF.846.13
88,Al0.089Co0.182Cr0.182Fe0.182Mn0.182Ni0.182,AC,220.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
89,Al0.091Co0.182Cr0.182Cu0.182Fe0.182Ni0.182,AC,207.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
90,Al0.091Co0.182Cr0.182Cu0.182Fe0.182Ni0.182,AC,300.0,1,36.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1149/1.2744133
91,Al0.091Co0.182Cr0.182Cu0.182Fe0.182Ni0.182,AC,225.0,1,37.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
92,Al0.091Co0.182Cr0.182Cu0.182Fe0.182Ni0.182,AC,215.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
93,Al0.091Co0.182Cr0.182Cu0.182Fe0.182Ni0.182,AC,160.0,8,149.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.vacuum.2018.12.009
94,Al0.091Co0.182Cr0.182Fe0.182Mn0.182Ni0.182,PM,553.0,8,136.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2018.10.168
95,Al0.091Co0.227Cr0.227Fe0.227Ni0.227,AC,127.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
